League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
England 2,Middlesbrough,41,20,12,9,72,69.7,62,41,21,26.4,58.7,1.38,1.48,13.77,29.8,17.24,22.37,24.75,0.98,0.91,8.6,52.8,62.8,31.48,43.7,10.89,482.68,85.3,4.08,56.25,71.5,35.58,48.3,68.64,19.96
England 2,Ipswich Town,39,20,12,7,72,74.7,69,40,29,27.0,57.1,1.61,1.71,12.82,35.8,13.92,20.66,19.91,0.94,0.94,8.42,47.14,60.8,41.43,48.5,9.76,412.19,83.0,2.85,52.83,70.2,39.94,55.3,70.47,15.89
England 2,Southampton,39,17,12,10,63,65.1,63,48,15,25.0,56.6,1.47,1.66,11.95,39.7,14.28,18.21,18.26,1.19,1.12,10.35,51.53,61.5,37.21,42.9,10.76,447.88,85.5,3.58,49.7,70.0,36.81,49.0,63.81,16.0
England 2,Swansea City,41,15,9,17,54,54.5,49,54,-5,25.8,55.3,1.09,1.07,10.23,31.7,13.22,16.08,14.03,1.16,1.21,10.41,55.0,61.7,45.17,43.4,9.85,434.5,82.5,4.31,50.22,62.4,48.76,47.9,68.73,13.27
England 2,Birmingham City,41,14,11,16,53,59.9,49,52,-3,27.8,54.5,1.08,1.2,10.98,30.7,16.87,19.69,16.58,1.1,1.15,9.08,55.03,64.1,43.37,43.9,9.28,401.89,81.9,4.03,52.8,64.8,41.76,45.1,61.95,14.44
England 2,Coventry City,41,25,9,7,84,74.3,84,42,42,26.2,53.3,1.85,1.84,13.22,35.9,16.53,19.88,19.93,1.06,0.93,10.02,49.79,64.4,44.87,44.5,11.06,390.96,83.5,3.64,52.55,68.5,41.31,49.9,64.86,16.11
England 2,Norwich City,41,17,7,17,58,58.0,55,48,7,24.4,53.0,1.22,1.27,10.21,35.5,12.04,18.19,16.79,1.3,1.06,10.16,56.83,64.3,43.07,42.8,11.03,404.97,82.5,3.42,49.03,64.9,41.61,49.5,68.1,15.0
England 2,Stoke City,41,15,9,17,54,53.4,47,45,2,25.2,52.4,1.03,1.13,9.56,36.6,14.05,16.6,14.66,1.27,0.99,10.84,47.66,62.1,41.11,45.7,11.29,369.3,81.2,3.17,45.68,60.5,45.04,50.1,65.2,12.24
England 2,Portsmouth,40,10,12,18,42,54.5,40,57,-17,26.1,52.2,0.91,1.02,10.15,32.1,16.14,19.24,15.69,1.0,1.3,9.52,50.09,64.3,52.39,45.9,10.59,359.93,78.9,2.71,53.28,63.2,49.06,52.3,67.21,12.8
England 2,Watford,41,14,15,12,57,64.6,52,49,3,24.7,51.3,1.14,1.36,11.84,34.8,14.15,20.13,15.47,1.06,1.08,9.15,52.09,62.8,42.24,44.4,12.26,387.08,82.8,3.48,47.76,66.0,45.98,53.0,63.29,15.29
England 2,West Bromwich Albion,41,11,12,18,45,63.7,42,56,-14,26.2,51.2,0.93,1.25,11.33,31.3,15.76,17.42,16.2,0.99,1.24,8.56,49.17,65.5,46.23,46.3,12.88,415.1,83.5,2.66,48.75,67.4,44.44,51.2,67.01,14.78
England 2,Leicester City,41,11,14,16,47,46.0,54,63,-9,26.2,51.2,1.19,1.04,10.04,34.9,12.35,21.97,14.54,1.37,1.39,10.65,55.61,62.7,40.1,43.2,11.57,400.79,83.6,3.44,45.57,69.7,37.43,50.8,63.57,14.29
England 2,Sheffield United,41,15,6,20,51,65.4,57,58,-1,25.4,50.2,1.26,1.43,11.19,32.5,13.03,19.11,19.77,1.15,1.29,10.09,55.77,64.9,47.62,48.1,9.69,375.16,80.5,3.83,52.29,63.2,43.25,48.6,63.71,12.3
England 2,Bristol City,41,16,9,16,57,50.9,52,50,2,26.6,48.9,1.16,1.14,10.6,34.9,13.55,15.29,16.43,1.34,1.12,11.0,54.22,63.7,41.67,49.4,13.02,394.53,80.4,3.86,51.38,62.6,43.97,45.5,69.17,13.71
England 2,Blackburn Rovers,41,12,11,18,47,54.2,37,49,-12,26.6,48.5,0.82,1.07,9.49,29.0,16.38,16.43,15.29,1.13,1.09,9.27,60.1,67.0,56.37,43.0,11.48,359.29,78.1,2.2,48.3,62.3,47.79,51.7,68.64,12.29
England 2,Hull City,41,20,8,13,68,50.8,63,58,5,26.5,46.9,1.39,1.26,9.1,39.0,13.04,17.05,15.14,1.58,1.28,12.21,61.76,61.7,45.52,42.8,11.25,336.43,78.8,2.73,43.62,59.8,48.1,51.9,60.81,11.7
England 2,Sheffield Wednesday,41,1,10,30,13,25.8,25,82,-57,26.4,46.5,0.55,0.75,7.41,29.6,11.51,14.39,11.6,1.89,1.82,12.95,61.13,63.4,43.3,39.1,12.22,328.82,79.3,3.46,39.36,57.6,42.11,45.4,57.67,10.64
