League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
England 4,Crewe Alexandra,43,19,9,15,66,58.5,63,53,10,25.1,49.5,1.33,1.29,10.32,34.1,14.12,16.41,15.93,1.31,1.12,11.73,60.91,63.0,61.88,43.2,9.67,323.09,75.0,3.67,53.97,54.2,57.54,46.8,69.21,9.16
England 4,Harrogate Town,43,8,9,26,33,37.2,35,66,-31,28.0,48.3,0.74,0.86,9.08,30.7,13.47,19.59,11.84,1.63,1.39,13.04,61.1,65.7,68.75,43.9,10.49,328.07,73.9,2.85,51.59,56.6,58.26,49.6,74.68,11.4
England 4,Tranmere Rovers,42,9,10,23,37,48.2,49,72,-23,29.7,48.0,1.05,1.09,9.82,33.5,14.16,14.9,14.86,1.39,1.54,11.77,56.46,63.5,72.17,47.8,8.49,297.25,72.9,2.86,51.8,57.6,54.15,54.7,70.89,8.56
England 4,Milton Keynes Dons,43,22,13,8,79,71.3,79,43,36,29.6,48.0,1.64,1.38,9.82,40.0,14.03,15.32,16.48,0.99,0.89,8.7,57.84,64.4,67.14,47.2,8.66,300.42,71.6,3.18,51.24,53.4,54.6,45.0,66.35,11.02
England 4,Newport County,43,10,7,26,37,45.4,43,73,-30,24.6,47.6,0.89,0.97,8.32,33.5,11.22,15.19,12.3,1.43,1.52,11.76,61.24,64.2,56.54,43.0,10.49,305.02,74.6,2.35,46.05,52.4,51.5,45.1,64.76,11.3
England 4,Gillingham,43,12,14,17,50,60.3,49,62,-13,27.9,47.4,1.03,1.29,10.57,32.9,16.87,14.35,16.64,1.3,1.3,10.32,61.56,65.7,69.16,47.4,8.98,269.75,69.8,3.68,49.95,54.0,59.26,51.0,67.84,7.64
England 4,Barrow,43,9,9,25,36,45.7,43,70,-27,28.0,46.1,0.9,0.97,8.56,33.1,15.6,15.16,13.19,1.4,1.47,11.64,56.28,61.5,64.67,42.9,12.11,303.11,73.7,2.29,48.4,57.0,53.3,51.9,69.39,8.97
England 4,Oldham Athletic,43,17,14,12,65,67.5,54,39,15,29.4,46.0,1.13,1.45,10.9,37.4,14.88,12.08,16.03,1.16,0.82,9.67,59.27,65.4,70.53,46.2,8.88,286.85,71.5,3.14,55.53,57.6,58.48,51.2,69.93,7.66
England 4,Accrington Stanley,43,14,9,20,51,49.6,42,50,-8,26.4,45.5,0.88,0.95,9.74,35.0,13.04,13.94,11.9,1.28,1.05,9.93,58.44,64.5,74.65,45.9,10.24,289.41,70.1,3.09,53.18,51.7,58.46,44.6,67.12,8.26
England 4,Bromley,44,23,15,6,84,65.7,68,43,25,27.4,44.0,1.38,1.4,10.71,36.1,15.56,13.48,16.02,1.19,0.88,9.73,55.02,66.2,69.9,46.0,9.23,238.93,65.0,3.05,54.1,51.2,56.99,47.3,64.02,7.45
England 4,Shrewsbury Town,43,13,8,22,47,48.3,40,66,-26,26.0,44.0,0.84,0.85,9.21,29.3,11.17,14.56,12.81,1.14,1.38,9.71,57.06,65.7,62.73,47.1,10.72,269.46,70.1,3.81,49.07,52.4,55.12,46.8,65.6,8.6
England 4,Walsall,43,17,11,15,62,62.6,52,50,2,25.7,41.8,1.09,1.18,9.35,33.6,13.42,17.99,14.55,1.01,1.05,9.1,56.48,67.9,55.72,47.6,12.54,251.8,70.4,2.6,48.32,53.0,47.76,43.5,59.2,11.95
England 5,York City,44,32,8,4,104,92.8,110,40,70,25.1,63.0,2.24,2.24,15.2,44.6,23.34,18.35,23.71,1.04,0.81,8.77,48.0,64.1,35.2,48.1,10.2,472.95,85.1,3.85,50.81,67.3,44.99,50.8,69.73,22.02
