League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
England 4,Tranmere Rovers,33,9,8,16,35,40.4,45,57,-12,28.8,50.3,1.22,1.19,10.42,32.6,14.87,15.25,15.68,1.38,1.55,11.69,54.94,63.9,72.31,48.3,7.88,310.56,73.7,3.26,52.69,58.3,55.38,55.5,72.88,8.66
England 4,Cambridge United,33,18,9,6,63,54.1,48,26,22,27.3,49.9,1.3,1.2,9.04,33.3,13.63,15.83,16.29,0.85,0.71,6.98,50.3,65.9,67.95,44.5,10.21,321.3,74.1,3.15,55.37,53.7,53.66,45.6,65.8,9.86
England 4,Cheltenham Town,32,10,5,17,35,31.6,33,54,-21,27.9,49.2,0.94,0.81,8.35,32.0,12.93,18.18,11.25,1.4,1.53,12.33,63.47,65.2,58.95,45.2,9.7,309.43,75.6,2.41,48.35,56.9,53.75,49.0,65.63,11.82
England 4,Fleetwood Town,32,12,8,12,44,43.7,43,42,1,26.6,49.1,1.21,1.26,9.82,37.0,16.29,17.16,15.61,1.28,1.18,11.08,59.67,64.5,57.67,46.0,9.83,311.92,73.5,2.53,53.26,56.5,55.48,49.6,70.7,10.18
England 4,Crewe Alexandra,34,15,8,11,53,46.9,50,40,10,24.6,48.5,1.33,1.3,10.24,33.8,13.89,16.73,15.8,1.29,1.06,11.49,59.65,61.8,60.9,42.6,10.03,321.82,75.1,3.7,53.58,54.8,55.95,47.6,68.77,8.97
England 4,Gillingham,32,10,11,11,41,47.0,40,41,-1,28.0,48.1,1.13,1.41,11.27,33.6,17.68,13.67,17.93,1.3,1.16,10.56,61.99,65.6,72.27,47.7,9.06,272.2,71.0,3.95,49.17,56.3,59.59,53.0,69.02,8.25
England 4,Harrogate Town,34,6,8,20,26,28.2,24,51,-27,28.0,47.7,0.64,0.87,8.85,30.8,13.2,19.08,11.73,1.72,1.36,13.49,62.42,65.2,69.32,44.8,10.68,325.66,73.6,2.81,52.19,55.9,59.06,49.9,74.37,10.72
England 4,Newport County,33,6,6,21,24,32.0,32,60,-28,25.3,47.5,0.87,0.97,8.17,34.7,10.57,14.57,12.15,1.55,1.63,12.23,59.27,63.5,53.66,42.4,10.88,310.59,75.6,2.15,44.89,52.4,51.46,45.8,64.1,11.14
England 4,Milton Keynes Dons,33,17,10,6,61,53.4,62,33,29,29.4,47.4,1.68,1.34,9.77,40.2,13.59,16.06,16.44,1.0,0.89,8.56,59.03,64.7,66.23,46.6,8.79,298.05,72.1,3.14,50.23,53.6,55.02,45.9,65.77,10.53
England 4,Accrington Stanley,33,13,7,13,46,41.2,36,34,2,26.1,47.3,0.99,1.06,10.16,37.0,14.52,14.77,12.79,1.25,0.93,9.8,56.87,64.3,76.74,46.6,9.54,300.85,70.2,3.13,55.8,51.4,60.38,45.0,67.8,8.92
